Product Name,Prices,Descriptions,Rating
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,099","Electric Black, True Wireless",4.1
"Noise Buds VS102 with 50 Hrs Playtime, 11mm Driver, IPX...","₹1,199","Jet Black, True Wireless",4
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,"Red, True Wireless",4
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",₹299,"Beam Blue, In the Ear",3.7
Nu Republic 20 Upto 12 hrs Playtime with 52 mm Dynamic ...,₹699,"Black, 2.0 Channel",4
"boAt Airdopes 311 Pro w/ 50 HRS Playback, ASAP Charge &...",₹799,"Active Black, True Wireless",3.9
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹999,"Jungle Green, On the Ear",4.1
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,"Powder Blue, True Wireless",4.1
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹799,"Pine Green, In the Ear",4
"realme Buds Wireless 5 with 50dB ANC, 360 degree Spatia...","₹1,799","DAWN SILVER, In the Ear",4.2
"Mivi Duopods D4, 50Hrs Playtime, HD Call, Fast Charging...",₹699,"White, True Wireless",3.9
ZEBRONICS SBSPK 7 /-JUKE BAR 1600 30 W Bluetooth Soundb...,"₹1,499","Black, Stereo Channel",4.1
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,"Spring Green, True Wireless",4.1
"TRIGGR Ultrabuds N1 Neo with ENC, 40Hr Playback, 13mm D...",₹599,"Sky Black, In the Ear",4
OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"₹1,799","Misty Grey, True Wireless",4.4
ZEBRONICS ZEB-ASTRA 40/ZEB-PSPK 44 20 W Bluetooth Sound...,₹999,"Black, Stereo Channel",3.8
